name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
Vaiana,"Disney,Åsa Malm",LisaAhnlund,175,2021-10-28,Swedish,,,166.0
Myth of the Rain Forest Monster,Gertrude Chandler Warner,AimeeLilly,106,2021-09-01,English,,,234.0
Little Badman and the Time-travelling Teacher of Doom,"Humza Arshad,Henry White",HumzaArshad,335,2020-08-21,English,,,615.0
The Great Dream Robbery,"Greg James,Chris Smith","GregJames,ChrisSmith",348,2021-09-16,English,,,410.0
Barbie - Superprincesa,"Mattel,Nicolás Olucha Sánchez",BeatrizOlcina,26,2021-10-15,Spanish,,,38.0
Barbie - El campamento de princesas,Mattel,VanessaPérezJurado,33,2022-03-07,Spanish,,,38.0
Barbie - Dreamtopia,Mattel,VanessaPérezJurado,21,2022-03-07,Spanish,,,38.0
Barbie - Superprincesa,Mattel,VanessaPérezJurado,29,2022-03-07,Spanish,,,38.0
Among Us Book - Red Diary,Zeekid Media,TommyJay,79,2021-06-16,English,,,204.0
We’re Going to Find the Monster,"Malorie Blackman,Dapo Adeola",MalorieBlackman,6,2021-10-28,English,,,410.0
Ut i det vilda,Erin Hunter,MattiasLinderoth,495,2021-08-26,Swedish,,,568.0
The Imagination Box: A Mind of Its Own,Martyn Ford,JoshuaMcGuire,377,2021-09-28,English,,,569.0
Dungeons & Dragons: The Mad Mage's Academy,Matt Forbeck,"GildartJackson,TimCampbell",135,2020-05-26,English,,,1172.0
Scary Stories for Young Foxes: The City,"Christian Mc Kay Heidicker,Junyi Wu-illustrator",ChristianMcKayHeidicker,553,2021-09-28,English,,,703.0
Med kunglig stämpel,"Jeffrey Archer,Maria Nilsson",MagnusSchmitz,29,2022-03-07,Swedish,,,32.0
Bolt,"Disney,Nils Wadström",FrederickHalbout,141,2022-03-07,Swedish,,,166.0
The Tenth Son,"Ayan Malpani,Ashish Malpani",YohanChacko,257,2022-03-01,English,,,186.0
Escape from Falaise,John Flanagan,JohnKeating,457,2021-12-01,English,4.5,2.0,797.0
The Jungle Book,"Rudyard Kipling,Lisa Church-adaptation",RebeccaK.Reynolds,151,2020-08-04,English,,,305.0
PJ Masks - 3-Minuten-Gutenachtgeschichten,e One,MontyArnold,31,2022-03-31,German,,,99.0
Opapi-Opapa - Volle Kraft voraus!,Paul Mc Cartney,KaiLüftner,11,2022-03-29,German,,,65.0
Opapi-Opapa - Besuch von den Krawaffels,Paul Mc Cartney,KaiLüftner,10,2022-03-29,German,,,65.0
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,Nicolas Gorny,MartinBaltscheit,90,2022-03-31,German,,,300.0
Spidey og hans fantastiske venner,"Marvel,Brian Iskov",MathiasKlenske,8,2022-03-29,Danish,,,32.0
Phantom Stallion: Blue Wings,Terri Farley,NatalieBudig,262,2022-03-29,English,,,398.0
